お兄さん,おにいさん
お姉さん,おねえさん
お弁当,おべんとう
お手洗い,おてあらい
お母さん,おかあさん
お父さん,おとうさん
お皿,おさら
お茶,おちゃ
お菓子,おかし
お酒,おさけ
お金,おかね
お風呂,おふろ
さ来年,さらいねん
とり肉,とりにく
もう一度,もういちど
一,いち
一つ,ひとつ
一人,ひとり
一日,いちにち
一日,ついたち
一昨年,おととし
一昨日,おととい
一月,ひとつき
一緒,いっしょ
七,しち / なな
七つ,ななつ
七日,なのか
万,まん
万年筆,まんねんひつ
丈夫,じょうぶ
三,さん
三つ,みっつ
三日,みっか
上,うえ
上げる,あげる
上手,じょうず
上着,うわぎ
下,した
下手,へた
両親,りょうしん
並ぶ,ならぶ
並べる,ならべる
中,なか
丸い/円い,まるい
乗る,のる
九,きゅう / く
九つ,ここのつ
九日,ここのか
二,に
二つ,ふたつ
二人,ふたり
二十日,はつか
二十歳,はたち
二日,ふつか
五,ご
五つ,いつつ
五日,いつか
交差点,こうさてん
交番,こうばん
人,ひと
今,いま
今年,ことし
今日,きょう
今晩,こんばん
今月,こんげつ
今朝,けさ
今週,こんしゅう
仕事,しごと
休み,やすみ
休む,やすむ
会う,あう
会社,かいしゃ
伯母さん/叔母さん,おばさん
伯父/叔父,おじいさん
伯父/叔父,おじさん
低い,ひくい
住む,すむ
体,からだ
何,なん/なに
作る,つくる
作文,さくぶん
使う,つかう
便利,べんり
借りる,かりる
傘,かさ
働く,はたらく
元気,げんき
兄,あに
兄弟,きょうだい
先,さき
先月,せんげつ
先生,せんせい
先週,せんしゅう
入る,はいる
入れる,いれる
入口,いりぐち
全部,ぜんぶ
八,はち
八つ,やっつ
八日,ようか
八百屋,やおや
公園,こうえん
六,ろく
六つ,むっつ
六日,むいか
写真,しゃしん
冬,ふゆ
冷たい,つめたい
冷蔵庫,れいぞうこ
出かける,でかける
出す,だす
出る,でる
出口,でぐち
分かる,わかる
切る,きる
切手,きって
切符,きっぷ
初め/始め,はじめ
初めて,はじめて
前,まえ
勉強,べんきょうする
動物,どうぶつ
勤める,つとめる
北,きた
医者,いしゃ
十,じゅう とお
十日,とおか
千,せん
午前,ごぜん
午後,ごご
半,はん
半分,はんぶん
南,みなみ
危ない,あぶない
卵,たまご
厚い,あつい
去年,きょねん
友達,ともだち
取る,とる
口,くち
古い,ふるい
台所,だいどころ
右,みぎ
同じ,おなじ
名前,なまえ
向こう,むこう
吸う,すう
吹く,ふく
呼ぶ,よぶ
咲く,さく
問題,もんだい
喫茶店,きっさてん
四,し / よん
四つ,よっつ
四日,よっか
困る,こまる
図書館,としょかん
国,くに
土曜日,どようび
地下鉄,ちかてつ
地図,ちず
塩,しお
声,こえ
売る,うる
夏,なつ
夏休み,なつやすみ
夕方,ゆうがた
夕飯,ゆうはん
外,そと
外国,がいこく
外国人,がいこくじん
多い,おおい
夜,よる
大きい,おおきい
大きな,おおきな
大丈夫,だいじょうぶ
大人,おとな
大使館,たいしかん
大切,たいせつ
大勢,おおぜい
大好き,だいすき
大学,だいがく
天気,てんき
太い,ふとい
奥さん,おくさん
女,おんな
女の子,おんなのこ
好き,すき
妹,いもうと
姉,あね
始まる,はじまる
嫌,いや
嫌い,きらい
子供,こども
字引,じびき
学校,がっこう
学生,がくせい
安い,やすい
家,いえ
家庭,かてい
家族,かぞく
宿題,しゅくだい
寒い,さむい
寝る,ねる
封筒,ふうとう
小さい,ちいさい
小さな,ちいさな
少し,すこし
少ない,すくない
居る,いる
山,やま
川/河,かわ
左,ひだり
差す,さす
帰る,かえる
帽子,ぼうし
年,とし
広い,ひろい
店,みせ
座る,すわる
庭,にわ
廊下,ろうか
建物,たてもの
引く,ひく
弟,おとうと
弱い,よわい
強い,つよい
弾く,ひく
待つ,まつ
後,あと
後ろ,うしろ
御飯,ごはん
忘れる,わすれる
忙しい,いそがしい
悪い,わるい
意味,いみ
戸,と
所,ところ
手,て
手紙,てがみ
押す,おす
持つ,もつ
掃除,そうじする
授業,じゅぎょう
撮る,とる
教える,おしえる
教室,きょうしつ
散歩,さんぽする
文章,ぶんしょう
料理,りょうり
新しい,あたらしい
新聞,しんぶん
方,かた
旅行,りょこう
日曜日,にちようび
早い,はやい
明い,あかるい
明日,あした
易しい,やさしい
映画,えいが
映画館,えいがかん
春,はる
昨夜,ゆうべ
昨日,きのう
昼,ひる
昼御飯,ひるごはん
時々,ときどき
時計,とけい
時間,じかん
晩,ばん
晩御飯,ばんごはん
晴れ,はれ
晴れる,はれる
暇,ひま
暑い,あつい
暖かい,あたたかい
暗い,くらい
曇り,くもり
曇る,くもる
曲る,まがる
書く,かく
月曜日,げつようび
有名,ゆうめい
服,ふく
朝,あさ
朝御飯,あさごはん
木,き
木曜日,もくようび
本,ほん
本棚,ほんだな
机,つくえ
村,むら
来る,くる
来年,らいねん
来月,らいげつ
来週,らいしゅう
東,ひがし
果物,くだもの
楽しい,たのしい
横,よこ
橋,はし
次,つぎ
欲しい,ほしい
歌,うた
歌う,うたう
止まる,とまる
歩く,あるく
歯,は
死ぬ,しぬ
毎年,まいねん/まいとし
毎日,まいにち
毎晩,まいばん
毎月,まいげつ/まいつき
毎朝,まいあさ
毎週,まいしゅう
水,みず
水曜日,すいようび
汚い,きたない
池,いけ
泳ぐ,およぐ
洋服,ようふく
洗う,あらう
洗濯,せんたく
海,うみ
消える,きえる
消す,けす
涼しい,すずしい
渡す,わたす
渡る,わたる
温い,ぬるい
漢字,かんじ
火曜日,かようび
灰皿,はいざら
無くす,なくす
煩い,うるさい
熱い,あつい
牛乳,ぎゅうにゅう
牛肉,ぎゅうにく
物,もの
犬,いぬ
狭い,せまい
猫,ねこ
玄関,げんかん
甘い,あまい
生まれる,うまれる
生徒,せいと
男,おとこ
男の子,おとこのこ
町,まち
留学生,りゅうがくせい
番号,ばんごう
疲れる,つかれる
病気,びょうき
病院,びょういん
痛い,いたい
登る,のぼる
白,しろ
白い,しろい
百,ひゃく
皆さん,みなさん
目,め
眼鏡,めがね
着く,つく
着る,きる
知る,しる
短い,みじかい
砂糖,さとう
磨く,みがく
私,わたくし
私,わたし
秋,あき
空,そら
窓,まど
立つ,たつ
答える,こたえる
箱,はこ
紅茶,こうちゃ
紙,かみ
細い,ほそい
終る,おわる
結婚,けっこん
結構,けっこう
絵,え
緑,みどり
締める,しめる
練習,れんしゅうする
置く,おく
習う,ならう
耳,みみ
聞く,きく
肉,にく
背,せ
背広,せびろ
脱ぐ,ぬぐ
自分,じぶん
自動車,じどうしゃ
自転車,じてんしゃ
色,いろ
花,はな
花瓶,かびん
若い,わかい
英語,えいご
茶色,ちゃいろ
荷物,にもつ
葉書,はがき
薄い,うすい
薬,くすり
行く,いく
行く,ゆく
西,にし
要る,いる
見せる,みせる
見る 観る,みる
覚える,おぼえる
角,かど
言う,いう
言葉,ことば
話,はなし
話す,はなす
誕生日,たんじょうび
読む,よむ
誰,だれ
誰,だれか
警官,けいかん
豚肉,ぶたにく
財布,さいふ
買い物,かいもの
買う,かう
貸す,かす
貼る,はる
賑やか,にぎやか
質問,しつもん
赤,あか
赤い,あかい
走る,はしる
起きる,おきる
足,あし
車,くるま
軽い,かるい
辛い,からい
辞書,じしょ
辺,へん
近い,ちかい
近く,ちかく
返す,かえす
速い,はやい
遅い,おそい
遊ぶ,あそぶ
道,みち
違う,ちがう
遠い,とおい
部屋,へや
郵便局,ゆうびんきょく
重い,おもい
野菜,やさい
金曜日,きんようび
鉛筆,えんぴつ
銀行,ぎんこう
長い,ながい
門,もん
閉まる,しまる
閉める,しめる
開く,あく
開ける,あける
降りる,おりる
降る,ふる
階段,かいだん
隣,となり
雑誌,ざっし
難しい,むずかしい
雨,あめ
雪,ゆき
零,れい
電気,でんき
電話,でんわ
電車,でんしゃ
青,あお
青い,あおい
静か,しずか
靴,くつ
靴下,くつした
音楽,おんがく
頭,あたま
頼む,たのむ
風,かぜ
風邪,かぜ
飛ぶ,とぶ
飛行機,ひこうき
食べる,たべる
食べ物,たべもの
食堂,しょくどう
飲み物,のみもの
飲む,のむ
飴,あめ
駅,えき
高い,たかい
魚,さかな
鳥,とり
鳴く,なく
黄色,きいろ
黄色い,きいろい
黒,くろ
黒い,くろい
鼻,はな
お・金持ち,かねもち/おかねもち
お土産,おみやげ
お嬢さん,おじょうさん
お宅,おたく
